lecture,slide_id,model,type,term_or_entity
Lecture 1,Slide1,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,office hours
Lecture 1,Slide10,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,resolution
Lecture 1,Slide11,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,you see the outcome-the measurement-and you ask: what could have caused this?
Lecture 1,Slide12,Qwen__Qwen3-VL-4B-Instruct,triple_entity_not_in_text,s=convolution | p=produces | o=blurred image | conf=0.9
Lecture 1,Slide13,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=convolution | p=represents | o=modeling how a spatially-invariant linear system modifies a signal or an image | conf=1.0
Lecture 1,Slide15,Qwen__Qwen2-VL-7B-Instruct,concept_term_not_in_text,Medicine
Lecture 1,Slide19,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,"academic, professionally, and personally"
Lecture 1,Slide19,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,frequency_domain
Lecture 1,Slide2,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,DQE
Lecture 1,Slide2,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=CT Reconstruction | p=reconstructs_with | o=MATLAB | conf=0.9
Lecture 1,Slide25,llava-hf__llava-onevision-qwen2-7b-ov-hf,concept_term_not_in_text,MRF
Lecture 1,Slide25,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=General Electric | p=annual revenue | o=$150 billion | conf=1.0
Lecture 1,Slide3,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,s=course | p=uses | o=Books | conf=1.0
Lecture 1,Slide30,OpenGVLab__InternVL3-14B,triple_entity_not_in_text,"s=Imaging Program at RPI | p=integrates | o=theoretical, technical & biomedical aspects | conf=1.0"
Lecture 1,Slide30,Qwen__Qwen3-VL-4B-Instruct,concept_term_not_in_text,reconstruction
